Gen: 1, Points: 192
Gen: 2, Points: 154
Gen: 3, Points: 224
Gen: 4, Points: 258
Gen: 5, Points: 107
Gen: 6, Points: 173
Gen: 7, Points: 145
Gen: 8, Points: 202
Gen: 9, Points: 5774
Gen: 10, Points: 5443
Gen: 11, Points: 6264
Gen: 12, Points: 5992
Gen: 13, Points: 7404
Gen: 14, Points: 7436
Gen: 15, Points: 6600
Gen: 16, Points: 6150
Gen: 17, Points: 6031
Gen: 18, Points: 7508
Gen: 19, Points: 6727
Gen: 20, Points: 5914
Gen: 21, Points: 6986
Gen: 22, Points: 6969
Gen: 23, Points: 7517
Gen: 24, Points: 5705
Gen: 25, Points: 7623
Gen: 26, Points: 7406
Gen: 27, Points: 6570
Gen: 28, Points: 7408
Gen: 29, Points: 7194
Gen: 30, Points: 6754
Gen: 31, Points: 7445
Gen: 32, Points: 8327
Gen: 33, Points: 8132
Gen: 34, Points: 7870
Gen: 35, Points: 9100
Gen: 36, Points: 8513
Gen: 37, Points: 7466
Gen: 38, Points: 7315
Gen: 39, Points: 7502
Gen: 40, Points: 9374
Gen: 41, Points: 10012
Gen: 42, Points: 7678
Gen: 43, Points: 7106
Gen: 44, Points: 8522
Gen: 45, Points: 10010
Gen: 46, Points: 7920
Gen: 47, Points: 9002
Gen: 48, Points: 9401
Gen: 49, Points: 9009
Gen: 50, Points: 9131
Gen: 51, Points: 8313
Gen: 52, Points: 8831
Gen: 53, Points: 9223
Gen: 54, Points: 9777
Gen: 55, Points: 9681
Gen: 56, Points: 8946
Gen: 57, Points: 8948
Gen: 58, Points: 9200
Gen: 59, Points: 8752
Gen: 60, Points: 9505
Gen: 61, Points: 9764
Gen: 62, Points: 8449
Gen: 63, Points: 10998
Gen: 64, Points: 8989
Gen: 65, Points: 8994
Gen: 66, Points: 9083
Gen: 67, Points: 9664
Gen: 68, Points: 7309
Gen: 69, Points: 8866
Gen: 70, Points: 9005
Gen: 71, Points: 10113
Gen: 72, Points: 9449
Gen: 73, Points: 8982
Gen: 74, Points: 9291
Gen: 75, Points: 9282
Gen: 76, Points: 9184
Gen: 77, Points: 8742
Gen: 78, Points: 9638
Gen: 79, Points: 8409
Gen: 80, Points: 9633
Gen: 81, Points: 7662
Gen: 82, Points: 8952
